==8325== NVPROF is profiling process 8325, command: python3 -m sockeye.train --source /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train-preproc.vi --target /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train
==8325== Profiling application: python3 -m sockeye.train --source /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train-preproc.vi --target /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train
==8325== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"GPU activities",21.654849,17.487687,135,0.129538,0.041633,0.387370,"maxwell_sgemm_128x64_tn"
"GPU activities",16.054933,12.965394,135,0.096039,0.030689,3.931525,"sgemm_128x128x8_TN_vec"
"GPU activities",10.552100,8.521501,131,0.065049,0.025153,0.174116,"sgemm_32x32x32_NN_vec"
"GPU activities",6.700022,5.410700,2,2.705350,0.234790,5.175910,"sgemm_128x128x8_NN_vec"
"GPU activities",5.328039,4.302735,1,4.302735,4.302735,4.302735,"sgemm_128x128x8_NT_vec"
"GPU activities",4.124669,3.330936,36,0.092526,0.090530,0.095363,"void mxnet::op::_cuda_fused_mlp_att_scoring_func_forward<float>(float const *, float const , mxnet::op::_cuda_fused_mlp_att_scoring_func_forward<float>*, float const *, float const *, bool)"
"GPU activities",3.783684,3.055569,18,0.169753,0.163237,0.188517,"void mxnet::op::_cuda_fused_mlp_att_scoring_func_backward<float>(float const *, mxnet::op::_cuda_fused_mlp_att_scoring_func_backward<float>*, float const , float const *, float const , float const , float const , float const , bool)"
"GPU activities",2.494595,2.014546,54,0.037306,0.012896,0.085186,"sgemm_32x32x32_NT_vec"
"GPU activities",1.861210,1.503047,1,1.503047,1.503047,1.503047,"void mshadow::cuda::SoftmaxKernel<int=8, float, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>>(mshadow::gpu, int=2, unsigned int)"
"GPU activities",1.776450,1.434598,18,0.079699,0.077282,0.082466,"maxwell_sgemm_128x64_nn"
