==3858== NVPROF is profiling process 3858, command: python3 -m sockeye.train --source /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train-preproc.vi --target /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train
==3858== Profiling application: python3 -m sockeye.train --source /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train-preproc.vi --target /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train
==3858== Profiling result:
==3858== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::expr::BinaryMapExp<mshadow::op::mul, mshadow::Tensor<mshadow::gpu, int=2, float>, mshadow::Tensor<mshadow::gpu, int=2, float>, float, int=1>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=2)",40,"dram_read_transactions","Device Memory Read Transactions",40,200762,28319
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::expr::BinaryMapExp<mshadow::op::mul, mshadow::Tensor<mshadow::gpu, int=2, float>, mshadow::Tensor<mshadow::gpu, int=2, float>, float, int=1>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=2)",40,"dram_write_transactions","Device Memory Write Transactions",0,99345,17429
"TITAN Xp (0)","void mxnet::op::broadcast::reduce_kernel<mshadow::red::sum, int=2, float, mxnet::op::mshadow_op::identity, int=2>(int, int, bool, float const *, mxnet::op::broadcast::reduce_kernel<mshadow::red::sum, int=2, float, mxnet::op::mshadow_op::identity, int=2>*, mshadow::Shape<int=2>, mshadow::Shape, mshadow::Shape, mshadow::Shape, int, bool)",36,"dram_read_transactions","Device Memory Read Transactions",192,72314,35950
"TITAN Xp (0)","void mxnet::op::broadcast::reduce_kernel<mshadow::red::sum, int=2, float, mxnet::op::mshadow_op::identity, int=2>(int, int, bool, float const *, mxnet::op::broadcast::reduce_kernel<mshadow::red::sum, int=2, float, mxnet::op::mshadow_op::identity, int=2>*, mshadow::Shape<int=2>, mshadow::Shape, mshadow::Shape, mshadow::Shape, int, bool)",36,"dram_write_transactions","Device Memory Write Transactions",0,41654,20858
"TITAN Xp (0)","maxwell_sgemm_128x64_nn",18,"dram_read_transactions","Device Memory Read Transactions",259636,302800,265852
"TITAN Xp (0)","maxwell_sgemm_128x64_nn",18,"dram_write_transactions","Device Memory Write Transactions",28872,35455,29739
"TITAN Xp (0)","sgemm_128x128x8_TN_vec",135,"dram_read_transactions","Device Memory Read Transactions",8677,16310501,419117
"TITAN Xp (0)","sgemm_128x128x8_TN_vec",135,"dram_write_transactions","Device Memory Write Transactions",86635,2152649,275379
"TITAN Xp (0)","void gen_sequenced<curandStateXORWOW, float, int, __operator_&__(float curand_uniform_noargs<curandStateXORWOW>(curandStateXORWOW*, int))>(curandStateXORWOW*, float*, unsigned long, unsigned long, int)",20,"dram_read_transactions","Device Memory Read Transactions",6224,6775,6412
"TITAN Xp (0)","void gen_sequenced<curandStateXORWOW, float, int, __operator_&__(float curand_uniform_noargs<curandStateXORWOW>(curandStateXORWOW*, int))>(curandStateXORWOW*, float*, unsigned long, unsigned long, int)",20,"dram_write_transactions","Device Memory Write Transactions",16987,106050,28598
