==19898== NVPROF is profiling process 19898, command: python3 -m sockeye.train --source /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train-preproc.en --target /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train
==19898== Profiling application: python3 -m sockeye.train --source /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train-preproc.en --target /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train
==19898== Profiling result:
==19898== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"TITAN Xp (0)","sgemm_32x32x32_TN_vec",28,"dram_read_transactions","Device Memory Read Transactions",4644,54724,36485
"TITAN Xp (0)","sgemm_32x32x32_TN_vec",28,"dram_write_transactions","Device Memory Write Transactions",1514,27334,23268
"TITAN Xp (0)","maxwell_sgemm_128x64_nn",1,"dram_read_transactions","Device Memory Read Transactions",265304,265304,265304
"TITAN Xp (0)","maxwell_sgemm_128x64_nn",1,"dram_write_transactions","Device Memory Write Transactions",98480,98480,98480
"TITAN Xp (0)","sgemm_128x128x8_TN_vec",108,"dram_read_transactions","Device Memory Read Transactions",14984,339542,184284
"TITAN Xp (0)","sgemm_128x128x8_TN_vec",108,"dram_write_transactions","Device Memory Write Transactions",90385,256509,134210
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=3, float>, float>, mshadow::expr::Plan<mshadow::expr::SliceExp<mshadow::Tensor<mshadow::gpu, int=3, float>, mshadow::gpu, float, int=3, int=2>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=3)",533,"dram_read_transactions","Device Memory Read Transactions",0,58842,2470
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=3, float>, float>, mshadow::expr::Plan<mshadow::expr::SliceExp<mshadow::Tensor<mshadow::gpu, int=3, float>, mshadow::gpu, float, int=3, int=2>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=3)",533,"dram_write_transactions","Device Memory Write Transactions",0,52825,2747
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::expr::BinaryMapExp<mshadow::op::plus, mshadow::expr::BinaryMapExp<mshadow::op::mul, mshadow::expr::ScalarExp<float>, mshadow::Tensor<mshadow::gpu, int=2, float>, float, int=1>, mshadow::expr::BinaryMapExp<mshadow::op::mul, mshadow::expr::ScalarExp<float>, mshadow::expr::UnaryMapExp<mxnet::op::mshadow_op::square, mshadow::expr::BinaryMapExp<mxnet::op::mshadow_op::clip, mshadow::Tensor<mshadow::gpu, int=2, float>, mshadow::expr::ScalarExp<float>, float, int=1>, float, int=1>, float, int=1>, float, int=1>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=2)",7,"dram_read_transactions","Device Memory Read Transactions",192,2209166,556229
"TITAN Xp (0)","void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::expr::BinaryMapExp<mshadow::op::plus, mshadow::expr::BinaryMapExp<mshadow::op::mul, mshadow::expr::ScalarExp<float>, mshadow::Tensor<mshadow::gpu, int=2, float>, float, int=1>, mshadow::expr::BinaryMapExp<mshadow::op::mul, mshadow::expr::ScalarExp<float>, mshadow::expr::UnaryMapExp<mxnet::op::mshadow_op::square, mshadow::expr::BinaryMapExp<mxnet::op::mshadow_op::clip, mshadow::Tensor<mshadow::gpu, int=2, float>, mshadow::expr::ScalarExp<float>, float, int=1>, float, int=1>, float, int=1>, float, int=1>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=2)",7,"dram_write_transactions","Device Memory Write Transactions",32,1094958,275356
