==2781== NVPROF is profiling process 2781, command: python3 -m sockeye.train --source /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train-preproc.en --target /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train
==2781== Profiling application: python3 -m sockeye.train --source /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train-preproc.en --target /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train
==2781== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"GPU activities",15.626489,8.057088,129,0.062458,0.035297,0.117378,"maxwell_sgemm_128x64_tn"
"GPU activities",12.801975,6.600756,205,0.032198,0.012960,0.075554,"sgemm_32x32x32_NN_vec"
"GPU activities",10.607206,5.469123,108,0.050640,0.039233,0.076289,"sgemm_128x128x8_TN_vec"
"GPU activities",4.086756,2.107150,73,0.028865,0.020352,0.110018,"maxwell_sgemm_128x64_nt"
"GPU activities",4.081852,2.104621,120,0.017538,0.011552,0.026080,"sgemm_32x32x32_NT_vec"
"GPU activities",3.397662,1.751850,1,1.751850,1.751850,1.751850,"sgemm_128x128x8_NN"
"GPU activities",3.330258,1.717096,1,1.717096,1.717096,1.717096,"sgemm_128x128x8_TN"
"GPU activities",3.309405,1.706344,1,1.706344,1.706344,1.706344,"sgemm_128x128x8_NT_vec"
"GPU activities",2.492023,1.284898,533,0.002410,0.001600,0.011841,"void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=3, float>, float>, mshadow::expr::Plan<mshadow::expr::SliceExp<mshadow::Tensor<mshadow::gpu, int=3, float>, mshadow::gpu, float, int=3, int=2>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=3)"
"GPU activities",2.461581,1.269202,534,0.002376,0.001536,0.011072,"void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::expr::SliceExp<mshadow::Tensor<mshadow::gpu, int=3, float>, mshadow::gpu, float, int=3, int=2>, float>, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=3, float>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=3)"
"GPU activities",2.360012,1.216833,173,0.007033,0.003136,0.016224,"void mshadow::cuda::MapRedKeepLowestKernel<mshadow::sv::plusto, mshadow::red::sum, int=5, float, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=1, float>, float>, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>>(mshadow::gpu, int=1, float, mshadow::Shape<int=2>)"
"GPU activities",2.346907,1.210076,1,1.210076,1.210076,1.210076,"void mshadow::cuda::SoftmaxKernel<int=8, float, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>>(mshadow::gpu, int=2, unsigned int)"
