==4401== NVPROF is profiling process 4401, command: python3 -m sockeye.train --source /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train-preproc.en --target /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train
==4401== Profiling application: python3 -m sockeye.train --source /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train-preproc.en --target /home/armageddonknight/Workspace/EcoRNN/EcoNMT/benchmarks/sockeye/workspace/data/iwslt15-vi_en/train
==4401== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"GPU activities",15.366774,8.298740,129,0.064331,0.035969,0.101090,"maxwell_sgemm_128x64_tn"
"GPU activities",12.682846,6.849300,205,0.033411,0.014048,0.076834,"sgemm_32x32x32_NN_vec"
"GPU activities",10.485357,5.662558,108,0.052431,0.040289,0.076513,"sgemm_128x128x8_TN_vec"
"GPU activities",4.035307,2.179245,120,0.018160,0.011744,0.026593,"sgemm_32x32x32_NT_vec"
"GPU activities",3.982449,2.150699,73,0.029461,0.020481,0.115138,"maxwell_sgemm_128x64_nt"
"GPU activities",3.319385,1.792615,1,1.792615,1.792615,1.792615,"sgemm_128x128x8_NN"
"GPU activities",3.262913,1.762118,1,1.762118,1.762118,1.762118,"sgemm_128x128x8_TN"
"GPU activities",3.233938,1.746470,1,1.746470,1.746470,1.746470,"sgemm_128x128x8_NT_vec"
"GPU activities",2.470671,1.334272,533,0.002503,0.001664,0.012096,"void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=3, float>, float>, mshadow::expr::Plan<mshadow::expr::SliceExp<mshadow::Tensor<mshadow::gpu, int=3, float>, mshadow::gpu, float, int=3, int=2>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=3)"
"GPU activities",2.356179,1.272441,534,0.002382,0.001600,0.011360,"void mshadow::cuda::MapPlanKernel<mshadow::sv::saveto, int=8, mshadow::expr::Plan<mshadow::expr::SliceExp<mshadow::Tensor<mshadow::gpu, int=3, float>, mshadow::gpu, float, int=3, int=2>, float>, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=3, float>, float>>(mshadow::gpu, unsigned int, mshadow::Shape<int=2>, int=3)"
"GPU activities",2.354160,1.271351,173,0.007348,0.003232,0.020449,"void mshadow::cuda::MapRedKeepLowestKernel<mshadow::sv::plusto, mshadow::red::sum, int=5, float, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=1, float>, float>, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>>(mshadow::gpu, int=1, float, mshadow::Shape<int=2>)"
"GPU activities",2.261375,1.221243,1,1.221243,1.221243,1.221243,"void mshadow::cuda::SoftmaxKernel<int=8, float, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>, mshadow::expr::Plan<mshadow::Tensor<mshadow::gpu, int=2, float>, float>>(mshadow::gpu, int=2, unsigned int)"
"GPU activities",2.100657,1.134448,208,0.005454,0.002016,0.027905,"void op_generic_tensor_kernel<int=2, float, float, float, int=256, cudnnGenericOp_t=12, cudnnNanPropagation_t=0, cudnnDimOrder_t=0, int=2>(cudnnTensorStruct, float*, cudnnTensorStruct, float const *, cudnnTensorStruct, float const *, float, float, float, float, dimArray, reducedDivisorArray)"
