Wall time,Step,Value
1543893998.3417041,50,3939.0
1543894010.28899,100,3939.0
1543894020.9301164,150,3939.0
1543894032.1139789,200,3939.0
1543894042.3545117,250,3939.0
1543894052.4656146,300,3939.0
1543894066.030477,350,4107.0
1543894077.0443575,400,4107.0
1543894087.7288394,450,4107.0
1543894100.3399227,500,4107.0
1543894113.1322875,550,4107.0
1543894124.4417775,600,4107.0
1543894136.56424,650,4107.0
1543894148.6742475,700,4107.0
1543894161.2581513,750,4107.0
1543894174.3534532,800,4107.0
1543894185.8946369,850,4107.0
1543894196.9489882,900,4107.0
1543894206.7874944,950,4107.0
1543894217.290884,1000,4107.0
1543894227.7498264,1050,4107.0
1543894240.2800083,1100,4107.0
1543894251.9671102,1150,4107.0
1543894263.5203588,1200,4107.0
1543894275.48287,1250,4107.0
1543894287.36895,1300,4107.0
1543894298.1028645,1350,4107.0
1543894309.2755032,1400,4107.0
1543894321.7901862,1450,4107.0
1543894334.689474,1500,4107.0
1543894344.522291,1550,4107.0
1543894356.4380934,1600,4107.0
1543894369.078571,1650,4107.0
1543894380.67078,1700,4107.0
1543894392.4314897,1750,4107.0
1543894403.9862752,1800,4107.0
1543894415.0874527,1850,4107.0
1543894426.9011075,1900,4107.0
1543894439.7756965,1950,4107.0
