Wall time,Step,Value
1543895826.5992336,50,4273.0
1543895834.2237725,100,4531.0
1543895842.30199,150,4531.0
1543895850.5399265,200,4531.0
1543895858.0266674,250,4531.0
1543895866.3779502,300,4531.0
1543895874.1793492,350,4531.0
1543895883.400902,400,4531.0
1543895891.7578092,450,4531.0
1543895899.5657754,500,4531.0
1543895907.7834249,550,4531.0
1543895916.5661254,600,4531.0
1543895925.4353607,650,4531.0
1543895934.3344388,700,4531.0
1543895942.9387617,750,4531.0
1543895950.9879615,800,4531.0
1543895959.60964,850,4531.0
1543895968.2673907,900,4531.0
1543895976.6358507,950,4531.0
1543895984.3981566,1000,4531.0
1543895992.2584057,1050,4531.0
1543896000.6469753,1100,4531.0
1543896008.421712,1150,4531.0
1543896016.6616974,1200,4531.0
1543896024.6948047,1250,4531.0
1543896031.9968753,1300,4531.0
1543896039.8406713,1350,4531.0
1543896047.140817,1400,4531.0
1543896055.279131,1450,4531.0
1543896063.4811952,1500,4531.0
1543896072.476666,1550,4531.0
1543896079.8741639,1600,4531.0
1543896086.9317963,1650,4531.0
1543896095.83792,1700,4531.0
1543896102.9114563,1750,4531.0
1543896111.1415663,1800,4531.0
1543896118.9616609,1850,4531.0
1543896128.498965,1900,4531.0
1543896137.0805526,1950,4531.0
