Wall time,Step,Value
1543896209.869246,50,2561.0
1543896216.8051631,100,2613.0
1543896224.086492,150,2613.0
1543896231.942775,200,2613.0
1543896238.9444003,250,2613.0
1543896246.623342,300,2613.0
1543896253.8122299,350,2613.0
1543896262.1723516,400,2613.0
1543896269.9927797,450,2613.0
1543896276.8953288,500,2613.0
1543896284.3664768,550,2613.0
1543896291.598815,600,2613.0
1543896299.3809342,650,2613.0
1543896307.08906,700,2613.0
1543896314.6664078,750,2613.0
1543896321.7143672,800,2613.0
1543896329.3936396,850,2613.0
1543896336.8083053,900,2613.0
1543896344.476382,950,2613.0
1543896351.415046,1000,2613.0
1543896358.3821998,1050,2613.0
1543896365.442986,1100,2613.0
1543896371.5906768,1150,2613.0
1543896379.2483568,1200,2613.0
1543896386.8282788,1250,2613.0
1543896394.0212293,1300,2613.0
1543896401.5653408,1350,2613.0
1543896408.468465,1400,2613.0
1543896416.0692227,1450,2613.0
1543896423.6130664,1500,2613.0
1543896431.5197723,1550,2613.0
1543896438.4797008,1600,2613.0
1543896445.2916534,1650,2613.0
1543896453.436535,1700,2613.0
1543896459.982567,1750,2613.0
1543896467.2269988,1800,2613.0
1543896474.25241,1850,2613.0
1543896482.831334,1900,2613.0
1543896491.1498616,1950,2613.0
