Wall time,Step,Value
1542991608.1562176,50,8915.0
1542991622.8918421,100,8915.0
1542991636.7260864,150,8915.0
1542991649.225911,200,8915.0
1542991662.4489193,250,8981.0
1542991675.4842474,300,8981.0
1542991687.4474928,350,8981.0
1542991700.2483025,400,8981.0
1542991713.031081,450,8981.0
1542991726.251453,500,8981.0
1542991739.5482063,550,9077.0
1542991752.150244,600,9077.0
1542991765.4683087,650,9077.0
1542991777.626029,700,9077.0
1542991789.8915508,750,9077.0
1542991802.7176802,800,9101.0
1542991815.1882167,850,9101.0
1542991827.9727743,900,9117.0
1542991840.8028533,950,9117.0
1542991853.9490793,1000,9117.0
1542991866.6588187,1050,9117.0
1542991879.1313372,1100,9117.0
1542991892.9607296,1150,9117.0
1542991906.6050074,1200,9117.0
1542991919.9284265,1250,9117.0
1542991932.1737194,1300,9117.0
1542991946.1654117,1350,9117.0
1542991958.1388862,1400,9117.0
1542991970.5345926,1450,9117.0
1542991984.8902776,1500,9117.0
1542991998.3729692,1550,9117.0
1542992011.387031,1600,9117.0
1542992024.5155392,1650,9117.0
1542992037.9267583,1700,9117.0
1542992051.0870914,1750,9117.0
1542992065.449776,1800,9117.0
1542992078.3598583,1850,9117.0
1542992091.914618,1900,9117.0
1542992105.2878811,1950,9117.0
1542992125.0125055,2000,9117.0
1542992138.1342313,2050,9117.0
1542992151.300423,2100,9117.0
1542992167.364888,2150,9117.0
1542992183.4500465,2200,9117.0
1542992195.130033,2250,9117.0
1542992208.8372977,2300,9117.0
1542992221.7536304,2350,9117.0
1542992233.5990486,2400,9117.0
1542992246.7914567,2450,9117.0
1542992259.7819135,2500,9117.0
1542992271.3635492,2550,9117.0
1542992285.5313041,2600,9117.0
1542992299.3355548,2650,9117.0
1542992312.4689815,2700,9117.0
1542992325.568107,2750,9117.0
1542992338.7819257,2800,9117.0
1542992352.1981428,2850,9117.0
1542992364.2934203,2900,9117.0
1542992377.6047575,2950,9117.0
1542992392.9112017,3000,9117.0
1542992406.2890658,3050,9117.0
1542992418.8781996,3100,9117.0
1542992431.6384475,3150,9117.0
1542992443.6856487,3200,9117.0
1542992457.7220266,3250,9117.0
1542992471.433537,3300,9117.0
1542992485.145791,3350,9117.0
1542992497.90918,3400,9117.0
1542992510.7882144,3450,9117.0
1542992524.3450363,3500,9117.0
1542992537.6379776,3550,9117.0
1542992550.4615302,3600,9117.0
1542992562.0385933,3650,9117.0
1542992574.4567313,3700,9117.0
1542992588.0964236,3750,9117.0
1542992601.3097165,3800,9117.0
1542992615.2196913,3850,9117.0
1542992626.5232496,3900,9117.0
1542992638.9951627,3950,9117.0
1542992667.632025,4000,9117.0
1542992680.235632,4050,9117.0
1542992693.3012738,4100,9117.0
1542992706.577915,4150,9117.0
1542992718.8977664,4200,9117.0
1542992731.569148,4250,9117.0
1542992744.1610317,4300,9117.0
1542992758.2917454,4350,9117.0
1542992772.2345195,4400,9117.0
1542992784.6257348,4450,9117.0
1542992798.2218654,4500,9117.0
1542992811.1839702,4550,9117.0
1542992824.3134189,4600,9117.0
1542992837.6296418,4650,9117.0
1542992852.0190704,4700,9117.0
1542992864.1889222,4750,9117.0
1542992877.9954014,4800,9117.0
1542992891.3963432,4850,9117.0
1542992906.1366894,4900,9117.0
1542992919.8325517,4950,9117.0
1542992932.9847896,5000,9117.0
1542992945.4748201,5050,9117.0
1542992958.6472616,5100,9117.0
1542992971.2583485,5150,9117.0
1542992983.9438686,5200,9117.0
1542992996.5264475,5250,9117.0
1542993008.3451939,5300,9117.0
1542993021.1227539,5350,9117.0
1542993033.3736851,5400,9117.0
1542993046.0473897,5450,9117.0
1542993057.963877,5500,9117.0
1542993071.00881,5550,9117.0
1542993083.4185324,5600,9117.0
1542993095.9283445,5650,9117.0
1542993108.7176814,5700,9117.0
1542993121.5095887,5750,9117.0
1542993136.3100338,5800,9117.0
1542993149.632999,5850,9117.0
1542993164.3157628,5900,9117.0
1542993176.701959,5950,9117.0
1542993202.540534,6000,9117.0
1542993216.3180742,6050,9117.0
1542993230.8774314,6100,9117.0
1542993247.75172,6150,9117.0
1542993262.538004,6200,9117.0
1542993276.1273954,6250,9117.0
1542993288.920022,6300,9117.0
1542993302.861109,6350,9117.0
1542993314.8356667,6400,9117.0
1542993327.5870059,6450,9117.0
1542993340.2619421,6500,9117.0
1542993352.5177517,6550,9117.0
1542993365.0382915,6600,9117.0
1542993377.211205,6650,9117.0
1542993390.9944122,6700,9117.0
1542993404.362142,6750,9117.0
1542993416.7598479,6800,9117.0
1542993428.3288193,6850,9117.0
1542993441.5530868,6900,9117.0
1542993454.2401426,6950,9117.0
1542993467.1933086,7000,9117.0
1542993480.020894,7050,9117.0
1542993491.768097,7100,9117.0
1542993503.9528265,7150,9117.0
1542993516.989012,7200,9117.0
1542993529.5973318,7250,9117.0
1542993543.4752443,7300,9117.0
1542993556.9951015,7350,9117.0
1542993569.9017775,7400,9117.0
1542993581.1726573,7450,9117.0
1542993594.3821645,7500,9117.0
1542993606.7930079,7550,9117.0
1542993619.6825843,7600,9117.0
1542993632.2156048,7650,9117.0
1542993645.0409133,7700,9117.0
1542993658.2375157,7750,9117.0
1542993669.649561,7800,9117.0
1542993681.6717207,7850,9117.0
1542993694.8090816,7900,9117.0
1542993708.2534852,7950,9117.0
1542993731.7606318,8000,9117.0
1542993745.4007063,8050,9117.0
1542993760.9836311,8100,9117.0
1542993774.6679955,8150,9117.0
1542993788.3429978,8200,9117.0
1542993802.0970616,8250,9117.0
1542993815.677016,8300,9117.0
1542993828.215857,8350,9117.0
1542993841.1015146,8400,9117.0
1542993853.2397678,8450,9117.0
1542993865.4509437,8500,9117.0
1542993878.960219,8550,9117.0
1542993892.3460913,8600,9117.0
1542993904.580966,8650,9117.0
1542993916.9651577,8700,9117.0
1542993930.7779398,8750,9117.0
1542993944.1797276,8800,9117.0
