Wall time,Step,Value
1542995870.7764034,50,6341.0
1542995894.8730443,100,7173.0
1542995917.309075,150,7339.0
1542995939.3919876,200,7339.0
1542995961.8916204,250,7339.0
1542995985.0924065,300,7645.0
1542996006.314425,350,7645.0
1542996028.4789665,400,7749.0
1542996049.80041,450,7749.0
1542996071.1584914,500,7749.0
1542996093.0341663,550,7749.0
1542996113.9665408,600,7749.0
1542996135.3975484,650,7749.0
1542996157.6198308,700,7749.0
1542996182.677615,750,7749.0
1542996204.9220107,800,7749.0
1542996224.9054847,850,7749.0
1542996247.1902227,900,7749.0
1542996269.807187,950,7749.0
1542996291.5259147,1000,7749.0
1542996313.359265,1050,7749.0
1542996336.3753355,1100,7749.0
1542996357.8238108,1150,7749.0
1542996380.2610579,1200,7749.0
1542996400.8511045,1250,7749.0
1542996422.5054667,1300,7749.0
1542996445.5465875,1350,7749.0
1542996466.3093743,1400,7749.0
1542996490.3023798,1450,7749.0
1542996511.8611557,1500,7749.0
1542996534.4354331,1550,7749.0
1542996556.0030835,1600,7749.0
1542996577.934256,1650,7749.0
1542996600.1106102,1700,7749.0
1542996622.4508784,1750,7749.0
1542996644.2416492,1800,7749.0
1542996666.1563404,1850,7749.0
1542996690.8937516,1900,7749.0
1542996713.6787803,1950,7749.0
1542996741.334411,2000,7749.0
1542996764.3261116,2050,7749.0
1542996789.309981,2100,7749.0
1542996814.923475,2150,7749.0
1542996836.0940506,2200,7749.0
1542996858.404894,2250,7749.0
1542996880.617786,2300,7749.0
1542996901.9678216,2350,7749.0
1542996923.4078047,2400,7749.0
1542996945.5147495,2450,7749.0
1542996968.489604,2500,7749.0
1542996992.8736181,2550,7749.0
1542997014.3013592,2600,7749.0
1542997036.470048,2650,7749.0
1542997057.9381356,2700,7749.0
1542997080.4906707,2750,7749.0
1542997102.6421785,2800,7749.0
1542997125.0382833,2850,7749.0
1542997147.0194936,2900,7749.0
1542997168.7752771,2950,7749.0
1542997190.304407,3000,7749.0
1542997213.022034,3050,7749.0
1542997235.37298,3100,7749.0
1542997257.9263186,3150,7749.0
1542997279.5607374,3200,7749.0
1542997301.967219,3250,7749.0
1542997324.5198922,3300,7749.0
1542997346.5535228,3350,7749.0
1542997368.3797312,3400,7749.0
1542997391.4020624,3450,7749.0
1542997412.7636585,3500,7749.0
1542997434.3716543,3550,7749.0
1542997456.2739677,3600,7749.0
1542997479.770196,3650,7749.0
1542997502.8029506,3700,7749.0
1542997526.2234237,3750,7749.0
1542997549.1473203,3800,7749.0
1542997571.1688533,3850,7749.0
1542997593.5721676,3900,7749.0
1542997615.6742265,3950,7749.0
1542997652.668757,4000,7749.0
1542997676.3284926,4050,7749.0
1542997700.0533516,4100,7749.0
1542997724.5386207,4150,7749.0
1542997748.2216952,4200,7749.0
1542997769.573503,4250,7749.0
1542997791.5427139,4300,7749.0
1542997814.873363,4350,7749.0
1542997837.7494972,4400,7749.0
1542997858.9205794,4450,7749.0
1542997880.7126818,4500,7749.0
1542997903.193982,4550,7749.0
1542997927.1502945,4600,7749.0
1542997949.2458522,4650,7749.0
1542997970.30843,4700,7749.0
1542997992.8209422,4750,7749.0
1542998017.700612,4800,7749.0
1542998040.1746922,4850,7749.0
1542998060.8188772,4900,7749.0
1542998084.3126893,4950,7749.0
1542998105.5131905,5000,7749.0
1542998126.2827253,5050,7749.0
1542998146.9718761,5100,7749.0
1542998167.8484879,5150,7749.0
1542998189.6981676,5200,7749.0
1542998213.760383,5250,7749.0
1542998235.5820556,5300,7749.0
1542998256.6867795,5350,7749.0
1542998279.135468,5400,7749.0
1542998301.7408342,5450,7749.0
1542998324.0103805,5500,7749.0
1542998347.6108222,5550,7749.0
1542998369.858047,5600,7749.0
1542998390.3978746,5650,7749.0
1542998412.138898,5700,7749.0
1542998435.1448102,5750,7749.0
1542998457.8784978,5800,7749.0
1542998480.056636,5850,7749.0
1542998501.676906,5900,7749.0
1542998523.6133842,5950,7749.0
1542998557.336989,6000,7749.0
1542998583.8323138,6050,7749.0
