Wall time,Step,Value
1543651036.5290055,50,9097.0
1543651044.0099971,100,9097.0
1543651050.2586234,150,9097.0
1543651055.6262784,200,9097.0
1543651061.8552337,250,9163.0
1543651067.489794,300,9163.0
1543651072.6004608,350,9163.0
1543651078.0759547,400,9163.0
1543651083.5152354,450,9163.0
1543651089.1075487,500,9163.0
1543651095.1860166,550,9259.0
1543651100.3549013,600,9259.0
1543651106.697687,650,9259.0
1543651111.9634287,700,9259.0
1543651116.9959288,750,9259.0
1543651122.9539878,800,9283.0
1543651127.9997206,850,9283.0
1543651133.500596,900,9299.0
1543651138.5349684,950,9299.0
1543651144.49625,1000,9299.0
1543651150.1474097,1050,9299.0
1543651155.2486112,1100,9299.0
1543651161.4101057,1150,9299.0
1543651167.3769116,1200,9299.0
1543651173.1217835,1250,9299.0
1543651177.979476,1300,9299.0
1543651184.2267144,1350,9299.0
1543651188.9778976,1400,9299.0
1543651194.1190667,1450,9299.0
1543651200.2720091,1500,9299.0
1543651206.1215029,1550,9299.0
1543651211.645365,1600,9299.0
1543651217.2211373,1650,9299.0
1543651222.7776246,1700,9299.0
1543651228.3464036,1750,9299.0
1543651234.6056511,1800,9299.0
1543651240.139492,1850,9299.0
1543651245.7416282,1900,9299.0
1543651251.4959967,1950,9299.0
1543651259.5784855,2000,9299.0
1543651266.0281987,2050,9299.0
1543651272.2200892,2100,9299.0
1543651280.6288521,2150,9299.0
1543651289.0213494,2200,9299.0
1543651295.0781152,2250,9299.0
1543651303.6475449,2300,9299.0
1543651309.3298254,2350,9299.0
1543651314.062254,2400,9299.0
1543651319.4676332,2450,9299.0
1543651325.145962,2500,9299.0
1543651329.7196882,2550,9299.0
1543651336.040837,2600,9299.0
1543651342.161931,2650,9299.0
1543651347.8737655,2700,9299.0
1543651353.5657444,2750,9299.0
1543651359.2333913,2800,9299.0
1543651365.181041,2850,9299.0
1543651370.1334035,2900,9299.0
1543651375.5576653,2950,9299.0
1543651381.772424,3000,9299.0
1543651387.7984715,3050,9299.0
1543651393.1647992,3100,9299.0
1543651398.7083313,3150,9299.0
1543651403.6790736,3200,9299.0
1543651409.2343268,3250,9299.0
1543651414.9778347,3300,9299.0
1543651420.3730268,3350,9299.0
1543651425.8628328,3400,9299.0
1543651430.9762673,3450,9299.0
1543651436.487137,3500,9299.0
1543651441.835163,3550,9299.0
1543651447.5245955,3600,9299.0
1543651452.3034697,3650,9299.0
1543651457.6873934,3700,9299.0
1543651464.1339393,3750,9299.0
1543651470.0175793,3800,9299.0
1543651475.8699405,3850,9299.0
1543651480.505826,3900,9299.0
1543651486.0177817,3950,9299.0
1543651499.2676704,4000,9299.0
1543651506.1215122,4050,9299.0
1543651514.3908916,4100,9299.0
1543651522.5027678,4150,9299.0
1543651529.6441066,4200,9299.0
1543651537.011482,4250,9299.0
1543651543.3597796,4300,9299.0
1543651548.8779988,4350,9299.0
1543651554.4743028,4400,9299.0
1543651559.477559,4450,9299.0
1543651565.0180936,4500,9299.0
1543651570.1081586,4550,9299.0
1543651575.7421644,4600,9299.0
1543651581.3042035,4650,9299.0
1543651587.3093343,4700,9299.0
1543651592.0889173,4750,9299.0
1543651597.528992,4800,9299.0
1543651603.4400017,4850,9299.0
1543651609.6923075,4900,9299.0
1543651615.498911,4950,9299.0
1543651620.4239106,5000,9299.0
1543651625.4031193,5050,9299.0
1543651630.628373,5100,9299.0
1543651635.9501226,5150,9299.0
1543651641.4468026,5200,9299.0
1543651646.7051966,5250,9299.0
1543651651.3145676,5300,9299.0
1543651656.601294,5350,9299.0
1543651661.5561056,5400,9299.0
1543651667.0889924,5450,9299.0
1543651672.0352101,5500,9299.0
1543651677.9942536,5550,9299.0
1543651683.2925212,5600,9299.0
1543651688.7058234,5650,9299.0
1543651694.2843072,5700,9299.0
1543651699.6854124,5750,9299.0
1543651705.9088295,5800,9299.0
1543651711.5095253,5850,9299.0
1543651717.9429996,5900,9299.0
1543651723.231423,5950,9299.0
1543651736.786282,6000,9299.0
1543651743.2191985,6050,9299.0
1543651750.4539971,6100,9299.0
1543651759.2608309,6150,9299.0
1543651766.871154,6200,9299.0
1543651775.2745118,6250,9299.0
1543651780.7626295,6300,9299.0
1543651786.8825674,6350,9299.0
1543651791.8279138,6400,9299.0
1543651797.329222,6450,9299.0
1543651802.7944994,6500,9299.0
1543651808.0302134,6550,9299.0
1543651813.403319,6600,9299.0
1543651818.524733,6650,9299.0
