Wall time,Step,Value
1543557651.9258888,50,1162.321044921875
1543557662.0235074,100,1277.6348876953125
1543557671.3408082,150,1386.6185302734375
1543557680.342339,200,1436.073974609375
1543557689.4969363,250,1411.2333984375
1543557699.3423133,300,1311.333251953125
1543557707.584571,350,1569.48046875
1543557716.4745102,400,1455.2830810546875
1543557724.6518524,450,1583.218017578125
1543557732.847328,500,1580.2662353515625
1543557741.420188,550,1508.9356689453125
1543557749.3125145,600,1641.573974609375
1543557757.6402166,650,1554.7838134765625
1543557766.5226064,700,1455.279052734375
1543557777.4489465,750,1181.1846923828125
1543557786.210014,800,1476.0540771484375
1543557793.1886837,850,1859.703857421875
1543557802.076545,900,1455.6982421875
1543557811.3239665,950,1398.2091064453125
1543557822.7360246,1000,1132.04248046875
1543557835.4760246,1050,1012.5326538085938
1543557848.5802202,1100,984.285400390625
1543557861.7132168,1150,981.9037475585938
1543557874.7959383,1200,985.8136596679688
1543557883.7742827,1250,1441.3343505859375
1543557891.8359308,1300,1607.6531982421875
1543557900.305583,1350,1529.057861328125
1543557908.3098826,1400,1618.806396484375
1543557916.936765,1450,1500.9415283203125
1543557926.5586839,1500,1343.76416015625
1543557935.2944689,1550,1481.62890625
1543557944.365498,1600,1426.4874267578125
1543557952.9168298,1650,1514.5045166015625
1543557960.7427523,1700,1656.739990234375
1543557970.230798,1750,1362.350341796875
1543557979.7963028,1800,1351.127197265625
1543557988.6650803,1850,1459.4671630859375
1543557996.0302472,1900,1761.1519775390625
1543558003.686759,1950,1691.921875
1543558020.790301,2000,752.5565185546875
1543558033.5060914,2050,1014.387939453125
1543558046.9623694,2100,958.1842651367188
1543558061.4531577,2150,889.349609375
1543558072.649659,2200,1153.435791015625
1543558080.0515497,2250,1752.55859375
1543558087.4440396,2300,1754.6610107421875
1543558096.2023094,2350,1478.5555419921875
1543558105.764655,2400,1352.3148193359375
1543558113.764484,2450,1620.397216796875
1543558122.062296,2500,1560.839111328125
1543558131.6500363,2550,1349.09228515625
1543558139.8796782,2600,1574.2479248046875
1543558147.9621463,2650,1603.205810546875
1543558157.3266277,2700,1380.7667236328125
1543558165.969646,2750,1497.4886474609375
1543558175.1548033,2800,1408.216552734375
1543558183.1701992,2850,1617.066650390625
1543558191.85861,2900,1489.1458740234375
1543558200.4754171,2950,1503.054931640625
1543558216.4807525,3000,804.9193725585938
1543558229.588505,3050,983.896484375
1543558243.3832548,3100,934.6093139648438
1543558255.8224869,3150,1037.436767578125
1543558270.6872718,3200,866.9715576171875
1543558280.4604318,3250,1323.21533203125
1543558288.4684017,3300,1617.9273681640625
1543558296.4788492,3350,1616.98388671875
1543558306.1228697,3400,1341.0799560546875
1543558315.1192665,3450,1438.8919677734375
1543558324.2636807,3500,1414.7391357421875
1543558332.7534382,3550,1525.2823486328125
1543558341.3897688,3600,1499.323486328125
1543558348.7602782,3650,1760.5791015625
1543558358.2046208,3700,1369.01318359375
1543558365.8181221,3750,1703.6002197265625
1543558374.2063394,3800,1543.9534912109375
1543558383.5737965,3850,1380.630615234375
1543558391.6097245,3900,1612.3853759765625
1543558400.4270406,3950,1468.1016845703125
1543558417.054356,4000,774.3663330078125
1543558430.8988743,4050,931.3950805664062
1543558444.9183226,4100,919.59228515625
1543558456.8448887,4150,1082.4862060546875
1543558467.07127,4200,1264.3741455078125
1543558474.8263297,4250,1672.03271484375
1543558483.3651576,4300,1516.5277099609375
1543558492.7111526,4350,1384.501220703125
1543558501.535371,4400,1465.7862548828125
1543558509.7388508,4450,1579.46826171875
1543558519.0028474,4500,1396.5606689453125
1543558527.6826208,4550,1491.5892333984375
1543558536.8304887,4600,1414.6141357421875
1543558545.8185215,4650,1439.763916015625
1543558553.3060098,4700,1732.152587890625
1543558561.8306346,4750,1519.465087890625
1543558569.9328942,4800,1598.515869140625
1543558578.9678826,4850,1431.9056396484375
1543558587.2863173,4900,1557.0394287109375
1543558596.0302472,4950,1480.36572265625
1543558612.25574,5000,793.48095703125
1543558624.9702475,5050,1015.1243896484375
1543558638.8416831,5100,929.2276611328125
1543558653.2866547,5150,892.1594848632812
1543558663.0911748,5200,1318.7425537109375
1543558671.3685358,5250,1565.294921875
1543558681.0667179,5300,1333.422119140625
1543558689.318067,5350,1569.7633056640625
1543558698.8336039,5400,1359.29443359375
1543558706.8055594,5450,1625.8406982421875
1543558715.487552,5500,1491.2216796875
1543558723.963334,5550,1528.1082763671875
1543558732.161252,5600,1580.6121826171875
1543558740.4459515,5650,1563.74462890625
1543558748.592817,5700,1590.765869140625
1543558758.4812496,5750,1306.6182861328125
1543558766.3121455,5800,1655.865478515625
1543558774.5222826,5850,1576.716796875
1543558783.8347096,5900,1388.9927978515625
1543558791.7953072,5950,1628.365966796875
1543558808.7298799,6000,760.4216918945312
1543558822.1414428,6050,961.3441162109375
1543558835.1266105,6100,993.2265625
1543558847.9749534,6150,1004.2628784179688
1543558857.9023967,6200,1302.466064453125
1543558866.2926612,6250,1542.4697265625
1543558876.4834318,6300,1268.4110107421875
1543558884.982345,6350,1524.078125
1543558894.009806,6400,1433.6126708984375
1543558901.937702,6450,1633.8785400390625
1543558909.9496295,6500,1617.5875244140625
1543558919.5179193,6550,1351.6517333984375
1543558926.9663746,6600,1741.5526123046875
1543558934.977663,6650,1617.6578369140625
1543558943.7070868,6700,1483.1654052734375
1543558952.8270028,6750,1419.0555419921875
1543558962.7195518,6800,1307.0235595703125
1543558972.2342331,6850,1359.103759765625
1543558980.1683178,6900,1632.2777099609375
1543558988.4953513,6950,1554.5206298828125
1543559006.2630694,7000,725.0845336914062
1543559017.6660144,7050,1132.1468505859375
1543559031.4564364,7100,934.9652099609375
1543559045.6467173,7150,909.0052490234375
1543559055.617829,7200,1296.886962890625
1543559064.0215406,7250,1541.361328125
1543559071.7775435,7300,1671.5667724609375
1543559080.8541813,7350,1425.7850341796875
1543559089.9235246,7400,1427.063232421875
1543559098.4798253,7450,1514.024658203125
1543559107.5683568,7500,1422.88671875
1543559115.4823139,7550,1638.164306640625
1543559123.7500825,7600,1566.1708984375
1543559132.7943602,7650,1430.912353515625
1543559141.24099,7700,1532.738037109375
1543559149.6399593,7750,1542.35107421875
1543559159.3109422,7800,1337.4754638671875
1543559167.5255473,7850,1577.24462890625
1543559175.4428406,7900,1636.494873046875
1543559183.0819764,7950,1697.455322265625
1543559198.3211207,8000,845.970947265625
1543559211.9074912,8050,949.3048095703125
1543559226.0628524,8100,910.810546875
1543559240.2560937,8150,908.1109008789062
1543559250.1731074,8200,1303.965576171875
1543559258.5657375,8250,1543.08642578125
1543559267.8645158,8300,1391.6181640625
1543559276.827229,8350,1444.163818359375
1543559286.0991452,8400,1395.5533447265625
1543559295.0436854,8450,1447.1165771484375
1543559303.766924,8500,1484.146484375
1543559311.8029444,8550,1612.8919677734375
1543559320.2257264,8600,1537.88916015625
1543559329.093925,8650,1459.9571533203125
1543559338.62942,8700,1356.6015625
1543559348.929307,8750,1254.9217529296875
1543559357.420544,8800,1525.48681640625
1543559364.9774911,8850,1716.5491943359375
1543559372.8418217,8900,1648.47509765625
1543559379.9304702,8950,1829.873291015625
1543559396.2680843,9000,788.1533813476562
