Wall time,Step,Value
1543828161.293744,50,8907.0
1543828169.0245697,100,9151.0
1543828175.632635,150,9151.0
1543828181.3595455,200,9151.0
1543828187.8802512,250,9297.0
1543828194.0225585,300,9297.0
1543828199.7073147,350,9297.0
1543828205.6972344,400,9297.0
1543828211.8102393,450,9297.0
1543828218.038368,500,9297.0
1543828224.6485178,550,9487.0
1543828230.3036091,600,9487.0
1543828237.262422,650,9487.0
1543828243.2068796,700,9487.0
1543828249.008712,750,9487.0
1543828255.4884162,800,9627.0
1543828261.1779346,850,9627.0
1543828267.2679436,900,9763.0
1543828272.837884,950,9763.0
1543828279.6834257,1000,9763.0
1543828286.020091,1050,9763.0
1543828291.6817539,1100,9763.0
1543828298.6516871,1150,9763.0
1543828305.4221861,1200,9763.0
1543828311.782591,1250,9763.0
1543828317.2371385,1300,9763.0
1543828324.1629038,1350,9763.0
1543828329.3392847,1400,9763.0
1543828335.1478925,1450,9763.0
1543828342.1686146,1500,9763.0
1543828348.6556118,1550,9763.0
1543828354.7347767,1600,9763.0
1543828360.9751124,1650,9763.0
1543828367.1610858,1700,9763.0
1543828373.4019625,1750,9763.0
1543828380.2796893,1800,9763.0
1543828386.3695953,1850,9763.0
1543828392.5515833,1900,9763.0
1543828399.0368063,1950,9763.0
1543828407.6288803,2000,9763.0
1543828414.419429,2050,9763.0
1543828420.5131118,2100,9763.0
1543828428.891243,2150,9763.0
1543828437.1719074,2200,9763.0
1543828443.2759635,2250,9763.0
1543828450.4153292,2300,9763.0
1543828456.4363575,2350,9763.0
1543828461.7097208,2400,9763.0
1543828467.7210324,2450,9763.0
1543828474.1927717,2500,9763.0
1543828479.242778,2550,9763.0
1543828486.1685994,2600,9763.0
1543828493.062224,2650,9763.0
1543828499.3847618,2700,9763.0
1543828505.9505885,2750,9763.0
1543828512.2401834,2800,9763.0
1543828519.0846405,2850,9763.0
1543828524.5804443,2900,9763.0
1543828530.7117412,2950,9763.0
1543828537.7099326,3000,9763.0
1543828544.5365372,3050,9763.0
1543828550.4512808,3100,9763.0
1543828556.6838398,3150,9763.0
1543828562.195095,3200,9763.0
1543828568.5640235,3250,9763.0
1543828575.0199444,3300,9763.0
1543828581.175526,3350,9763.0
1543828587.4747655,3400,9763.0
1543828593.0142422,3450,9763.0
1543828599.3675027,3500,9763.0
1543828605.395311,3550,9763.0
1543828611.5983381,3600,9763.0
1543828616.8847282,3650,9763.0
1543828622.8524778,3700,9763.0
1543828629.8364248,3750,9763.0
1543828636.5680687,3800,9763.0
1543828642.9771183,3850,9763.0
1543828648.2181742,3900,9763.0
1543828654.3052473,3950,9763.0
1543828668.6032827,4000,9763.0
1543828675.7911835,4050,9763.0
1543828684.0294795,4100,9763.0
1543828692.7837749,4150,9763.0
1543828700.3989372,4200,9763.0
1543828707.538233,4250,9763.0
1543828713.2991183,4300,9763.0
1543828719.7680163,4350,9763.0
1543828726.3916092,4400,9763.0
1543828732.0948997,4450,9763.0
1543828738.438836,4500,9763.0
1543828744.0348866,4550,9763.0
1543828750.4314258,4600,9763.0
1543828756.5503922,4650,9763.0
1543828763.482045,4700,9763.0
1543828769.0775394,4750,9763.0
1543828775.6016405,4800,9763.0
1543828782.1896806,4850,9763.0
1543828789.163228,4900,9763.0
1543828795.7564754,4950,9763.0
1543828801.4572663,5000,9763.0
1543828807.5790377,5050,9763.0
1543828813.5615292,5100,9763.0
1543828819.6855488,5150,9763.0
1543828825.7917156,5200,9763.0
1543828831.968171,5250,9763.0
1543828837.3807292,5300,9763.0
1543828843.6387875,5350,9763.0
1543828849.3476894,5400,9763.0
1543828855.4845448,5450,9763.0
1543828861.133378,5500,9763.0
1543828867.5265453,5550,9763.0
1543828873.5610316,5600,9763.0
1543828879.6554909,5650,9763.0
1543828885.8539762,5700,9763.0
1543828891.7291927,5750,9763.0
1543828898.90798,5800,9763.0
1543828905.312005,5850,9763.0
1543828912.6038578,5900,9763.0
1543828918.63884,5950,9763.0
1543828932.9833353,6000,9763.0
1543828939.7501981,6050,9763.0
1543828946.9545598,6100,9763.0
1543828955.9548364,6150,9763.0
1543828963.8261285,6200,9763.0
1543828971.767758,6250,9763.0
1543828977.8612444,6300,9763.0
1543828984.7504838,6350,9763.0
1543828990.4080963,6400,9763.0
1543828996.6670315,6450,9763.0
1543829003.008953,6500,9763.0
1543829008.8984213,6550,9763.0
1543829014.863202,6600,9763.0
1543829020.7667384,6650,9763.0
1543829027.9347203,6700,9763.0
1543829034.5560324,6750,9763.0
1543829040.6648598,6800,9763.0
1543829045.8709013,6850,9763.0
1543829052.3146057,6900,9763.0
1543829058.465218,6950,9763.0
1543829065.0686536,7000,9763.0
1543829071.3385496,7050,9763.0
1543829076.786041,7100,9763.0
1543829082.4916382,7150,9763.0
1543829089.041024,7200,9763.0
1543829095.2386866,7250,9763.0
1543829102.3941865,7300,9763.0
1543829109.219551,7350,9763.0
1543829115.5565207,7400,9763.0
1543829120.6024244,7450,9763.0
1543829127.1875784,7500,9763.0
1543829133.003297,7550,9763.0
1543829139.2545266,7600,9763.0
1543829145.3123426,7650,9763.0
1543829151.6304939,7700,9763.0
1543829158.2901394,7750,9763.0
1543829163.4209764,7800,9763.0
1543829169.1772792,7850,9763.0
1543829175.6877832,7900,9763.0
1543829182.5127568,7950,9763.0
1543829195.9020262,8000,9763.0
1543829202.7240653,8050,9763.0
1543829211.3258805,8100,9763.0
1543829217.9197829,8150,9763.0
1543829225.6390033,8200,9763.0
1543829233.9885867,8250,9763.0
1543829241.0564234,8300,9763.0
1543829247.2113564,8350,9763.0
1543829253.5697775,8400,9763.0
1543829259.3563898,8450,9763.0
1543829265.0859995,8500,9763.0
1543829272.0582027,8550,9763.0
1543829278.539472,8600,9763.0
1543829284.4868453,8650,9763.0
1543829290.4764576,8700,9763.0
1543829297.7883599,8750,9763.0
