Wall time,Step,Value
1543635957.102927,50,8907.0
1543635964.8193622,100,9151.0
1543635971.3788433,150,9151.0
1543635977.0231738,200,9151.0
1543635983.510501,250,9297.0
1543635989.6439784,300,9297.0
1543635995.2718894,350,9297.0
1543636001.2105842,400,9297.0
1543636007.1735346,450,9297.0
1543636013.3580945,500,9297.0
1543636019.9558012,550,9487.0
1543636025.6372995,600,9487.0
1543636032.4834495,650,9487.0
1543636038.328272,700,9487.0
1543636043.8986082,750,9487.0
1543636050.3888326,800,9627.0
1543636055.9951456,850,9627.0
1543636061.944006,900,9763.0
1543636067.4044783,950,9763.0
1543636074.183168,1000,9763.0
1543636080.447213,1050,9763.0
1543636086.1773462,1100,9763.0
1543636093.0556552,1150,9763.0
1543636099.7793043,1200,9763.0
1543636106.1407738,1250,9763.0
1543636111.3200085,1300,9763.0
1543636118.1971595,1350,9763.0
1543636123.4602137,1400,9763.0
1543636129.274234,1450,9763.0
1543636136.110154,1500,9763.0
1543636142.494509,1550,9763.0
1543636148.6111615,1600,9763.0
1543636154.7013142,1650,9763.0
1543636160.896661,1700,9763.0
1543636167.0761428,1750,9763.0
1543636173.8648407,1800,9763.0
1543636180.0186498,1850,9763.0
1543636186.1233509,1900,9763.0
1543636192.461602,1950,9763.0
1543636198.1372828,2000,9763.0
1543636203.6232133,2050,9763.0
1543636208.8623517,2100,9763.0
1543636214.9277909,2150,9763.0
1543636220.8825731,2200,9763.0
1543636227.0891562,2250,9763.0
1543636232.3140948,2300,9763.0
1543636238.5032601,2350,9763.0
1543636244.2355192,2400,9763.0
1543636249.9420385,2450,9763.0
1543636255.7231138,2500,9763.0
1543636262.3526242,2550,9763.0
1543636268.7310734,2600,9763.0
1543636275.4650395,2650,9763.0
1543636281.7825716,2700,9763.0
1543636287.7613928,2750,9763.0
1543636293.617976,2800,9763.0
1543636300.0192318,2850,9763.0
1543636305.8632655,2900,9763.0
1543636312.857262,2950,9763.0
1543636319.4170241,3000,9763.0
1543636324.9371262,3050,9763.0
1543636330.942883,3100,9763.0
1543636337.1206794,3150,9763.0
1543636342.6140409,3200,9763.0
1543636348.8177214,3250,9763.0
1543636354.8937883,3300,9763.0
1543636361.0990183,3350,9763.0
1543636367.3890927,3400,9763.0
1543636374.7112377,3450,9763.0
1543636380.8857026,3500,9763.0
1543636386.3231676,3550,9763.0
1543636392.4391487,3600,9763.0
1543636398.305105,3650,9763.0
1543636404.7452435,3700,9763.0
1543636410.2435582,3750,9763.0
1543636416.1839223,3800,9763.0
1543636423.3114097,3850,9763.0
1543636429.9931877,3900,9763.0
1543636435.299184,3950,9763.0
1543636441.5835624,4000,9763.0
1543636448.5442407,4050,9763.0
1543636454.3764348,4100,9763.0
1543636460.2188208,4150,9763.0
1543636466.0056806,4200,9763.0
1543636472.018114,4250,9763.0
1543636478.225491,4300,9763.0
1543636484.2096832,4350,9763.0
1543636490.773814,4400,9763.0
1543636497.3458757,4450,9763.0
1543636504.0551083,4500,9763.0
