Wall time,Step,Value
1543906671.3228781,50,729.0049438476562
1543906679.1189318,100,1414.38818359375
1543906685.7985368,150,1965.8380126953125
1543906691.5384927,200,2507.492919921875
1543906698.0863607,250,3135.49365234375
1543906704.2495477,300,3654.3232421875
1543906709.974814,350,4209.083984375
1543906716.1759923,400,4810.263671875
1543906722.1615589,450,5346.1455078125
1543906728.3722405,500,5857.22021484375
1543906735.0941465,550,6509.9033203125
1543906740.838562,600,7019.49267578125
1543906747.9547515,650,7570.77392578125
1543906753.813906,700,8127.0634765625
1543906759.4611607,750,8685.349609375
1543906766.1434371,800,9235.21484375
1543906771.7150738,850,9707.6943359375
1543906777.9187887,900,10251.1494140625
1543906783.5484898,950,10769.5576171875
1543906790.2798393,1000,11285.7880859375
1543906796.8156905,1050,11802.5263671875
1543906802.4372256,1100,12362.544921875
1543906809.4818041,1150,13024.900390625
1543906816.209851,1200,13630.158203125
1543906822.7086487,1250,14162.138671875
1543906828.0470183,1300,14584.1513671875
1543906835.0006497,1350,15265.3916015625
1543906840.2529867,1400,15665.271484375
1543906846.2059133,1450,16216.3076171875
1543906853.0767443,1500,16891.91015625
1543906859.831793,1550,17469.994140625
1543906865.8967662,1600,17965.900390625
1543906872.201137,1650,18575.791015625
1543906878.507653,1700,19043.111328125
1543906884.8340762,1750,19507.0703125
1543906891.9153275,1800,20117.439453125
1543906897.972722,1850,20711.025390625
1543906904.2996755,1900,21284.072265625
1543906910.7841516,1950,21878.216796875
1543906921.5010545,2000,22728.564453125
1543906929.3259144,2050,23245.58984375
1543906934.7434597,2100,23761.796875
1543906943.1113355,2150,24654.609375
1543906951.4998455,2200,25555.806640625
1543906957.6626751,2250,26205.703125
1543906966.1512833,2300,27222.3046875
1543906973.8051617,2350,28027.228515625
1543906980.5075932,2400,28729.23828125
1543906987.3940985,2450,29381.234375
1543906993.8764,2500,29916.60546875
1543906999.0700946,2550,30385.716796875
1543907006.2018511,2600,30955.546875
1543907013.0500007,2650,31571.853515625
