Wall time,Step,Value
1543915823.7812517,50,1227.9918212890625
1543915837.6060493,100,2418.2109375
1543915850.8041124,150,3598.18603515625
1543915863.5825672,200,4751.25732421875
1543915876.1810768,250,5902.572265625
1543915888.954178,300,7069.25439453125
1543915900.5821414,350,8136.45849609375
1543915912.7560086,400,9260.189453125
1543915924.7582533,450,10375.705078125
1543915936.962835,500,11520.083984375
1543915949.5842485,550,12705.4384765625
1543915961.551012,600,13830.638671875
1543915975.6765952,650,15191.9697265625
1543915987.8581784,700,16338.8603515625
1543915999.8489633,750,17470.203125
1543916012.2651212,800,18645.37890625
1543916023.8553472,850,19744.583984375
1543916036.2858157,900,20932.697265625
1543916048.5093687,950,22095.736328125
1543916061.6198149,1000,23379.185546875
1543916074.592918,1050,24619.947265625
1543916086.5152774,1100,25767.29296875
1543916099.9073045,1150,27053.8125
1543916113.12783,1200,28343.23046875
1543916125.8088472,1250,29564.35546875
1543916137.4691799,1300,30684.14453125
1543916150.628992,1350,31906.955078125
1543916162.0398834,1400,32901.203125
1543916174.2064826,1450,34089.05859375
1543916187.998089,1500,35419.4296875
1543916201.2618487,1550,36697.71484375
1543916213.3966186,1600,37871.76953125
1543916225.783126,1650,39065.02734375
1543916238.379795,1700,40265.8671875
1543916250.8948908,1750,41474.31640625
1543916264.0692525,1800,42746.140625
1543916276.2700806,1850,43928.42578125
1543916288.8797896,1900,45153.90625
1543916301.3605006,1950,46341.01953125
1543916318.0050602,2000,47902.6875
1543916331.053676,2050,49195.59375
1543916344.5842116,2100,50863.85546875
1543916360.7005317,2150,52449.9140625
1543916376.2692676,2200,54165.96484375
1543916388.6261377,2250,55551.75390625
1543916403.667145,2300,57327.2890625
1543916416.2856045,2350,58545.48828125
1543916428.3314633,2400,59698.3203125
1543916441.0669374,2450,60922.88671875
1543916454.0515685,2500,62187.66796875
1543916465.9910214,2550,63335.94921875
1543916480.421393,2600,64729.6875
1543916494.2080827,2650,66058.0703125
1543916507.0917847,2700,67304.6640625
1543916520.1588268,2750,68381.03125
1543916533.163631,2800,69639.859375
1543916546.0513928,2850,70867.109375
1543916557.3899558,2900,71903.03125
1543916569.67276,2950,73085.8671875
1543916582.7816045,3000,74341.9140625
1543916596.1140902,3050,75635.6875
1543916608.4780853,3100,76839.453125
1543916620.738922,3150,78024.5859375
1543916632.262389,3200,79127.1015625
1543916644.520157,3250,80317.4609375
1543916657.3205693,3300,81503.84375
1543916669.9804993,3350,82752.296875
1543916682.499722,3400,83968.7421875
1543916694.4696014,3450,85111.34375
1543916707.401542,3500,86358.96875
1543916719.9210756,3550,87567.4453125
1543916732.381247,3600,88597.140625
1543916743.6132178,3650,89677.4140625
1543916755.6972384,3700,90731.609375
1543916768.9588027,3750,92009.890625
1543916781.781949,3800,93190.3359375
1543916794.6042771,3850,94429.875
1543916805.7188818,3900,95501.015625
1543916817.9128387,3950,96686.6484375
1543916845.139282,4000,98855.5390625
1543916859.2591727,4050,100531.9140625
1543916874.1383312,4100,102097.3984375
1543916889.2678828,4150,103948.25
1543916903.140212,4200,105276.9375
1543916915.3933582,4250,106449.8984375
1543916927.1546426,4300,107586.2734375
1543916940.1907446,4350,108839.5625
1543916953.3538477,4400,110121.1171875
1543916965.1890101,4450,111260.8984375
1543916977.8812528,4500,112493.90625
1543916990.0481403,4550,113592.7265625
1543917002.9835088,4600,114841.3125
1543917015.792919,4650,116063.546875
1543917028.8413198,4700,117316.375
1543917041.0562377,4750,118494.75
1543917054.0136886,4800,119754.734375
1543917067.2150362,4850,121043.125
1543917081.6307936,4900,122435.7734375
1543917094.3758638,4950,123658.0625
1543917106.2085352,5000,124803.90625
1543917118.6576679,5050,126010.078125
1543917130.8997476,5100,127204.65625
1543917144.0076723,5150,128454.78125
1543917157.0676186,5200,129711.9140625
1543917169.329196,5250,130897.4375
1543917180.7882593,5300,131995.34375
1543917193.1362944,5350,133180.15625
1543917205.037911,5400,134330.3125
1543917217.3265054,5450,135506.40625
1543917229.3662999,5500,136669.96875
1543917242.067028,5550,137861.21875
1543917254.4042852,5600,139053.171875
1543917267.5704982,5650,140311.03125
1543917279.855063,5700,141468.796875
1543917292.0259244,5750,142625.5625
1543917305.3315694,5800,143898.40625
1543917317.8325107,5850,145093.65625
1543917332.175805,5900,146449.203125
1543917345.0018325,5950,147674.078125
1543917367.0410597,6000,149459.71875
1543917380.6368542,6050,150890.515625
1543917394.5868778,6100,152541.265625
1543917410.8881238,6150,154392.015625
1543917425.0458982,6200,155776.171875
1543917438.11722,6250,157034.703125
1543917450.2495399,6300,158181.484375
1543917463.9211338,6350,159517.640625
1543917475.912257,6400,160675.421875
1543917488.2339637,6450,161663.96875
1543917500.3899314,6500,162726.71875
1543917512.2503965,6550,163874.015625
1543917524.3934608,6600,165043.234375
1543917536.1595702,6650,166177.53125
1543917550.3728764,6700,167329.109375
1543917563.4761431,6750,168596.390625
1543917575.5058181,6800,169750.796875
1543917587.1131284,6850,170870.15625
1543917601.4023964,6900,172243.34375
1543917614.563937,6950,173543.296875
1543917628.8166993,7000,174946.328125
1543917642.3111675,7050,176280.921875
1543917654.0105534,7100,177408.21875
1543917665.8256547,7150,178546.25
1543917678.5071461,7200,179758.546875
1543917690.7663,7250,180938.875
1543917704.0838494,7300,181990.859375
1543917717.1528893,7350,183253.0
1543917729.7788684,7400,184477.390625
1543917740.7470443,7450,185332.703125
1543917753.637422,7500,186582.296875
1543917766.3916128,7550,187702.984375
1543917778.964085,7600,188912.8125
1543917791.574504,7650,190140.703125
1543917804.5578191,7700,191397.0
1543917817.7947776,7750,192685.609375
1543917829.6432364,7800,193836.703125
1543917842.1251495,7850,195045.703125
1543917855.4626484,7900,196339.34375
1543917869.4653451,7950,197716.203125
1543917890.947313,8000,199458.828125
1543917904.853195,8050,200780.34375
1543917920.0149062,8100,202247.078125
1543917933.3163304,8150,203815.484375
1543917947.9284356,8200,205228.0625
1543917961.6460505,8250,206552.4375
1543917974.8823922,8300,207803.0625
1543917986.9261484,8350,208966.96875
1543917999.4451368,8400,210170.28125
1543918011.8670418,8450,211251.84375
1543918023.626329,8500,212384.53125
1543918036.8610976,8550,213659.921875
1543918050.057657,8600,214907.046875
1543918062.0869179,8650,216067.78125
1543918074.9852328,8700,217347.828125
1543918089.8265624,8750,218729.375
1543918103.223823,8800,220010.390625
1543918116.5496974,8850,221298.8125
1543918129.8274114,8900,222590.078125
1543918142.184429,8950,223639.859375
1543918154.8470469,9000,224850.171875
1543918166.532899,9050,225979.53125
1543918179.4926622,9100,227226.953125
1543918192.4781876,9150,228483.734375
1543918205.4443784,9200,229741.96875
1543918217.5182416,9250,230908.640625
1543918229.994221,9300,232110.109375
1543918241.8079944,9350,233242.359375
1543918254.088966,9400,234432.015625
1543918265.9970307,9450,235577.078125
1543918278.3477485,9500,236506.703125
1543918290.5072565,9550,237679.828125
