Wall time,Step,Value
1543163462.5049484,50,8915.0
1543163476.8268268,100,8915.0
1543163489.9898245,150,8915.0
1543163502.1598864,200,8915.0
1543163515.3161194,250,8981.0
1543163527.9049275,300,8981.0
1543163539.8014836,350,8981.0
1543163552.138745,400,8981.0
1543163564.4135947,450,8981.0
1543163577.7392447,500,8981.0
1543163590.7407815,550,9077.0
1543163602.6472368,600,9077.0
1543163616.0208018,650,9077.0
1543163628.2083576,700,9077.0
1543163640.1483097,750,9077.0
1543163652.933059,800,9101.0
1543163664.7718444,850,9101.0
1543163677.24787,900,9117.0
1543163689.2162082,950,9117.0
1543163702.5227306,1000,9117.0
1543163715.310659,1050,9117.0
1543163727.358171,1100,9117.0
1543163740.888779,1150,9117.0
1543163754.1498587,1200,9117.0
1543163767.0472429,1250,9117.0
1543163778.7116694,1300,9117.0
1543163792.433193,1350,9117.0
1543163804.1462834,1400,9117.0
1543163816.3191562,1450,9117.0
1543163829.8330243,1500,9117.0
1543163843.0259528,1550,9117.0
1543163855.5765262,1600,9117.0
1543163868.406087,1650,9117.0
1543163881.3435206,1700,9117.0
1543163894.0813777,1750,9117.0
1543163907.7513006,1800,9117.0
1543163920.339081,1850,9117.0
1543163933.1765938,1900,9117.0
1543163946.2377687,1950,9117.0
1543163963.3775725,2000,9117.0
1543163976.766458,2050,9117.0
1543163990.026112,2100,9117.0
1543164005.8956618,2150,9117.0
1543164020.0843623,2200,9117.0
1543164031.221793,2250,9117.0
1543164044.6072936,2300,9117.0
1543164057.136348,2350,9117.0
1543164068.914142,2400,9117.0
1543164081.4214478,2450,9117.0
1543164094.5288801,2500,9117.0
1543164106.0561352,2550,9117.0
1543164119.8427615,2600,9117.0
1543164133.2584538,2650,9117.0
1543164146.3536208,2700,9117.0
1543164159.4470253,2750,9117.0
1543164172.5034828,2800,9117.0
1543164185.8763733,2850,9117.0
1543164197.6342583,2900,9117.0
1543164210.3871453,2950,9117.0
1543164224.2250423,3000,9117.0
1543164237.7109513,3050,9117.0
1543164250.2762008,3100,9117.0
1543164262.9841857,3150,9117.0
1543164275.018263,3200,9117.0
1543164287.896522,3250,9117.0
1543164300.9722896,3300,9117.0
1543164313.6438293,3350,9117.0
1543164326.45279,3400,9117.0
1543164338.696602,3450,9117.0
1543164351.6191576,3500,9117.0
1543164364.2349505,3550,9117.0
1543164377.2764003,3600,9117.0
1543164388.9832716,3650,9117.0
1543164401.6923285,3700,9117.0
1543164415.5719304,3750,9117.0
1543164428.8637102,3800,9117.0
1543164442.2131305,3850,9117.0
1543164453.8842206,3900,9117.0
1543164466.771772,3950,9117.0
1543164493.1360788,4000,9117.0
1543164507.1281843,4050,9117.0
1543164522.97418,4100,9117.0
1543164539.0692506,4150,9117.0
1543164553.1664953,4200,9117.0
1543164565.752853,4250,9117.0
1543164578.0349877,4300,9117.0
1543164591.3625789,4350,9117.0
1543164604.583893,4400,9117.0
1543164616.7264879,4450,9117.0
1543164629.4745655,4500,9117.0
1543164642.0315583,4550,9117.0
1543164655.08011,4600,9117.0
1543164667.8844244,4650,9117.0
1543164681.4278793,4700,9117.0
1543164693.4683669,4750,9117.0
1543164706.73218,4800,9117.0
1543164720.0003326,4850,9117.0
1543164733.7273614,4900,9117.0
1543164747.1306834,4950,9117.0
1543164759.6789625,5000,9117.0
1543164772.3956575,5050,9117.0
1543164785.2404356,5100,9117.0
1543164798.3341432,5150,9117.0
1543164811.509124,5200,9117.0
1543164824.484278,5250,9117.0
1543164836.7053337,5300,9117.0
1543164849.774956,5350,9117.0
1543164862.528099,5400,9117.0
1543164875.5805888,5450,9117.0
1543164887.7965217,5500,9117.0
1543164901.1986132,5550,9117.0
1543164913.9866767,5600,9117.0
1543164926.7134178,5650,9117.0
1543164939.4809797,5700,9117.0
1543164952.1057794,5750,9117.0
1543164966.0648618,5800,9117.0
1543164979.0453696,5850,9117.0
1543164993.1838613,5900,9117.0
1543165005.6441047,5950,9117.0
1543165029.8723607,6000,9117.0
1543165043.7567801,6050,9117.0
1543165058.107915,6100,9117.0
1543165074.7326355,6150,9117.0
1543165089.0246782,6200,9117.0
1543165102.6282127,6250,9117.0
1543165115.1129656,6300,9117.0
1543165128.786853,6350,9117.0
1543165140.9680629,6400,9117.0
1543165153.7495065,6450,9117.0
1543165166.527413,6500,9117.0
1543165178.9372437,6550,9117.0
1543165191.6997821,6600,9117.0
1543165204.000954,6650,9117.0
1543165217.7777724,6700,9117.0
1543165231.4316218,6750,9117.0
1543165244.2132223,6800,9117.0
1543165256.2142277,6850,9117.0
1543165269.8742926,6900,9117.0
1543165282.9923892,6950,9117.0
1543165296.9406857,7000,9117.0
1543165309.786581,7050,9117.0
1543165321.779015,7100,9117.0
1543165334.0886095,7150,9117.0
1543165347.2738333,7200,9117.0
1543165360.0191894,7250,9117.0
1543165373.9725077,7300,9117.0
1543165387.7432966,7350,9117.0
1543165400.8206189,7400,9117.0
1543165412.1213021,7450,9117.0
1543165425.4906225,7500,9117.0
1543165437.9692342,7550,9117.0
1543165451.0152764,7600,9117.0
1543165463.7441456,7650,9117.0
1543165476.682039,7700,9117.0
1543165490.0006845,7750,9117.0
1543165501.610351,7800,9117.0
1543165513.787487,7850,9117.0
1543165526.9704535,7900,9117.0
1543165540.6560044,7950,9117.0
1543165562.2544029,8000,9117.0
1543165576.3181808,8050,9117.0
1543165592.312775,8100,9117.0
1543165606.1054466,8150,9117.0
1543165619.6008906,8200,9117.0
1543165633.533953,8250,9117.0
1543165647.4291513,8300,9117.0
1543165659.9634864,8350,9117.0
1543165672.9212449,8400,9117.0
1543165685.2598019,8450,9117.0
1543165697.5116193,8500,9117.0
1543165711.364797,8550,9117.0
1543165724.7573497,8600,9117.0
1543165737.129756,8650,9117.0
1543165749.7444718,8700,9117.0
1543165763.7729695,8750,9117.0
1543165777.3761556,8800,9117.0
1543165790.5306313,8850,9117.0
1543165803.8858738,8900,9117.0
