Wall time,Step,Value
1543909705.8998144,50,747.5799560546875
1543909714.250136,100,1513.6314697265625
1543909721.5628686,150,2204.39599609375
1543909727.8826022,200,2821.3056640625
1543909735.0896013,250,3436.925048828125
1543909741.9290373,300,4086.282958984375
1543909748.2075686,350,4713.64892578125
1543909754.9953103,400,5297.88427734375
1543909761.8061357,450,5914.14453125
1543909768.6660433,500,6598.03173828125
1543909776.0654433,550,7325.34912109375
1543909782.4786026,600,7897.32568359375
1543909789.6391444,650,8583.9423828125
1543909795.6789258,700,9161.828125
1543909801.3835483,750,9590.38671875
1543909808.119366,800,10110.5693359375
1543909813.8107932,850,10584.3037109375
1543909819.992722,900,11040.87890625
1543909825.522206,950,11475.1630859375
1543909832.3604505,1000,12049.7802734375
1543909838.6329324,1050,12618.244140625
1543909844.327036,1100,13086.955078125
1543909851.272133,1150,13733.982421875
1543909858.2797103,1200,14387.505859375
1543909864.7452464,1250,14899.0234375
1543909870.1851144,1300,15418.6494140625
1543909877.279674,1350,15999.5654296875
1543909882.7617576,1400,16514.994140625
1543909888.626226,1450,17041.546875
1543909895.3794494,1500,17720.400390625
1543909901.9189725,1550,18352.888671875
1543909907.9375727,1600,18940.3359375
1543909914.1469042,1650,19501.041015625
1543909920.3802173,1700,19963.521484375
1543909926.565935,1750,20445.001953125
1543909933.4596353,1800,21017.841796875
1543909939.501143,1850,21521.126953125
1543909945.7716682,1900,22070.25390625
1543909951.9936683,1950,22688.02734375
1543909960.7944806,2000,23506.458984375
1543909968.2447097,2050,23980.16015625
1543909974.0925171,2100,24681.45703125
1543909982.3020062,2150,25694.158203125
1543909990.699012,2200,26500.576171875
1543909996.5692945,2250,27088.48046875
1543910004.8058684,2300,28053.375
1543910012.4636245,2350,28821.82421875
1543910018.2765617,2400,29350.37890625
1543910024.1730576,2450,29921.65234375
1543910030.4886208,2500,30486.646484375
1543910035.6008012,2550,30927.48828125
1543910042.3999176,2600,31559.248046875
1543910049.243337,2650,32168.712890625
1543910055.528473,2700,32740.876953125
1543910061.763789,2750,33312.75390625
1543910068.0728097,2800,33884.7734375
1543910074.7435546,2850,34484.95703125
1543910080.058369,2900,34872.84765625
1543910086.2139714,2950,35384.52734375
1543910093.0638793,3000,35902.01953125
1543910100.1269765,3050,36583.8125
1543910106.4206724,3100,37122.68359375
1543910112.5165243,3150,37639.3125
1543910118.0078812,3200,38167.3828125
1543910124.1750827,3250,38728.7421875
1543910130.5545974,3300,39229.42578125
1543910136.6136587,3350,39732.96484375
1543910142.7867997,3400,40217.66015625
1543910148.318607,3450,40722.9921875
1543910154.6870534,3500,41344.67578125
1543910160.8517282,3550,41893.37890625
1543910167.203191,3600,42487.78515625
1543910172.441251,3650,42980.65234375
1543910178.2894237,3700,43562.91015625
1543910185.399043,3750,44101.19140625
1543910191.8764348,3800,44669.47265625
1543910198.3082697,3850,45304.16796875
1543910203.349654,3900,45703.59765625
1543910209.4326282,3950,46244.6328125
1543910228.7847853,4000,47630.6171875
1543910235.5572572,4050,48313.94140625
1543910243.7405126,4100,49190.5703125
1543910252.166863,4150,50017.54296875
1543910259.4011347,4200,50641.08984375
1543910267.1225162,4250,51508.53515625
1543910274.3999095,4300,52169.80859375
1543910282.5548356,4350,52795.30859375
1543910289.0298307,4400,53366.22265625
1543910294.6373353,4450,53823.4296875
1543910300.6819332,4500,54309.16015625
1543910306.3726387,4550,54786.55859375
1543910312.6207042,4600,55399.4375
1543910318.7891858,4650,55918.25390625
1543910325.5985987,4700,56555.01953125
1543910331.1607203,4750,57005.89453125
1543910337.5256977,4800,57559.171875
1543910344.0710778,4850,58170.40234375
1543910351.126066,4900,58726.51171875
1543910357.6478517,4950,59259.4140625
1543910363.4129684,5000,59822.98828125
1543910369.3161495,5050,60333.35546875
1543910375.138346,5100,60884.91796875
1543910381.7172122,5150,61442.28125
1543910388.1388454,5200,62039.36328125
1543910394.39054,5250,62644.61328125
1543910399.917653,5300,63162.89453125
1543910406.02514,5350,63610.83984375
1543910411.8132854,5400,64173.7578125
1543910417.9721518,5450,64672.69921875
1543910423.3772593,5500,65174.58203125
1543910429.8836973,5550,65813.0234375
