Wall time,Step,Value
1543168970.7000299,50,6341.0
1543168994.3425522,100,7173.0
1543169017.103761,150,7339.0
1543169039.5104225,200,7339.0
1543169062.5793674,250,7339.0
1543169086.846885,300,7645.0
1543169108.8397093,350,7647.0
1543169131.3651755,400,7749.0
1543169153.0160809,450,7749.0
1543169174.6648774,500,7749.0
1543169197.0207148,550,7749.0
1543169218.3464127,600,7749.0
1543169240.1651728,650,7749.0
1543169262.8855047,700,7749.0
1543169288.3679376,750,7749.0
1543169311.0338838,800,7749.0
1543169331.2153811,850,7749.0
1543169353.8278587,900,7749.0
1543169376.822233,950,7749.0
1543169404.8762965,1000,7749.0
1543169430.6455574,1050,7749.0
1543169455.8365474,1100,7749.0
1543169479.795701,1150,7749.0
1543169502.3467662,1200,7749.0
1543169525.2564251,1250,7749.0
1543169546.8189933,1300,7749.0
1543169568.841886,1350,7749.0
1543169590.3470933,1400,7749.0
1543169612.6296985,1450,7749.0
1543169636.2511683,1500,7749.0
1543169658.920165,1550,7749.0
1543169681.7241874,1600,7749.0
1543169703.8764558,1650,7749.0
1543169725.0181699,1700,7749.0
1543169748.2380233,1750,7749.0
1543169771.8388464,1800,7749.0
1543169794.5856977,1850,7749.0
1543169815.2611701,1900,7749.0
1543169836.268128,1950,7749.0
1543169871.6915274,2000,7749.0
1543169896.6926289,2050,7749.0
1543169922.5516639,2100,7749.0
1543169949.052327,2150,7749.0
1543169973.6798763,2200,7749.0
1543169994.3730228,2250,7749.0
1543170015.0807307,2300,7749.0
1543170037.693396,2350,7749.0
1543170061.724337,2400,7749.0
1543170083.1043565,2450,7749.0
1543170104.9931638,2500,7749.0
1543170128.7047272,2550,7749.0
1543170150.7465818,2600,7749.0
1543170172.522757,2650,7749.0
1543170196.0648558,2700,7749.0
1543170218.5291173,2750,7749.0
1543170241.542096,2800,7749.0
1543170263.1949487,2850,7749.0
1543170286.038241,2900,7749.0
1543170308.2360497,2950,7749.0
1543170340.8993092,3000,7749.0
1543170366.7317297,3050,7749.0
1543170392.9123087,3100,7749.0
1543170416.6874197,3150,7749.0
1543170440.5271208,3200,7749.0
1543170462.657578,3250,7749.0
1543170484.0439913,3300,7749.0
1543170505.7332096,3350,7749.0
1543170529.5820827,3400,7749.0
1543170552.7190654,3450,7749.0
1543170575.8577068,3500,7749.0
1543170598.0857594,3550,7749.0
1543170620.347271,3600,7749.0
1543170641.1095088,3650,7749.0
1543170664.584958,3700,7749.0
1543170685.6080573,3750,7749.0
1543170707.7704718,3800,7749.0
1543170731.1148636,3850,7749.0
1543170752.7088525,3900,7749.0
1543170775.247807,3950,7749.0
1543170809.642872,4000,7749.0
1543170836.015329,4050,7749.0
1543170862.4508173,4100,7749.0
1543170885.8288965,4150,7749.0
1543170907.8972285,4200,7749.0
1543170929.172307,4250,7749.0
1543170951.4786181,4300,7749.0
1543170974.7127552,4350,7749.0
1543170997.4737613,4400,7749.0
1543171019.2650783,4450,7749.0
1543171042.5929904,4500,7749.0
1543171065.0037112,4550,7749.0
1543171088.0438712,4600,7749.0
1543171110.9172275,4650,7749.0
1543171131.5811112,4700,7749.0
1543171153.63791,4750,7749.0
1543171175.5199935,4800,7749.0
1543171198.526131,4850,7749.0
1543171220.4743261,4900,7749.0
1543171242.9605973,4950,7749.0
1543171277.3070998,5000,7749.0
1543171302.6063888,5050,7749.0
1543171328.854462,5100,7749.0
1543171355.5812104,5150,7749.0
1543171378.418867,5200,7749.0
1543171400.2445827,5250,7749.0
1543171423.9332454,5300,7749.0
1543171445.8450422,5350,7749.0
1543171469.4025998,5400,7749.0
1543171490.814589,5450,7749.0
1543171513.089023,5500,7749.0
1543171535.1604617,5550,7749.0
1543171556.933228,5600,7749.0
1543171578.8172393,5650,7749.0
1543171600.417145,5700,7749.0
1543171624.5255008,5750,7749.0
1543171645.9756806,5800,7749.0
1543171667.901548,5850,7749.0
1543171691.2242873,5900,7749.0
1543171712.825669,5950,7749.0
1543171746.672984,6000,7749.0
1543171772.8297594,6050,7749.0
1543171798.095827,6100,7749.0
1543171822.76022,6150,7749.0
1543171844.573801,6200,7749.0
1543171866.6303108,6250,7749.0
1543171891.1533384,6300,7749.0
1543171913.3830435,6350,7749.0
1543171936.24638,6400,7749.0
1543171957.765111,6450,7749.0
1543171979.4525483,6500,7749.0
1543172003.104055,6550,7749.0
1543172023.9479449,6600,7749.0
1543172045.477609,6650,7749.0
1543172068.0373397,6700,7749.0
1543172090.9913,6750,7749.0
1543172115.0535011,6800,7749.0
1543172138.847214,6850,7749.0
1543172160.260858,6900,7749.0
1543172182.2342527,6950,7749.0
1543172217.630952,7000,7749.0
1543172241.5906572,7050,7749.0
1543172267.879474,7100,7749.0
1543172293.716953,7150,7749.0
1543172316.12781,7200,7749.0
1543172338.205477,7250,7749.0
1543172359.2603045,7300,7749.0
1543172382.2078278,7350,7749.0
1543172404.9807012,7400,7749.0
1543172427.4364972,7450,7749.0
1543172450.4896333,7500,7749.0
1543172471.6800907,7550,7749.0
1543172493.9943597,7600,7749.0
1543172517.4902415,7650,7749.0
1543172539.6640506,7700,7749.0
1543172561.7961383,7750,7749.0
1543172585.3038836,7800,7749.0
1543172607.3570023,7850,7749.0
